,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-220.1858945275215,-228.17923677955568,-236.52494761073928,-231.03755207807814,-238.81236905285255,-247.13676809382815,-255.64016181399123,-264.16390246388676,-273.3031873242696,-2194.984019744723
rt2_1,0.0,-39.67636828876123,-41.09195491150391,-42.972186126500006,-44.60584334005469,-46.065474686598634,-48.1129862714707,-49.81612143631739,-51.688718509840825,-53.524000489855474,-417.5536540609029
rt2_2,0.0,-39.86413206251953,-41.55680331285059,-43.16916523850098,-44.56761145408301,-46.22756417374512,-48.32117943775391,-50.09289843144531,-51.841436684712896,-53.6950449610459,-419.3358357566573
Total,0.0,-299.72639487880224,-310.8279950039102,-322.66629897574023,-320.2110068722158,-331.1054079131963,-343.57093380305275,-355.5491816817539,-367.69405765844044,-380.52223277517095,-3031.873509562283
