,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Total
Base,4.080526276411274,4.558674531835185,4.747950530102273,4.941409363704881,5.149083418638968,5.363420667011422,5.58533474771467,5.8142070862112645,6.047602613439221,6.286351018256288,52.574560253325444
Reform,4.080526276411274,4.330459205136437,4.513690754109008,4.701360256772204,4.902730852896245,5.110788775735454,5.32610248461821,5.548733125689375,5.775850970723553,6.008612988437742,50.2988556905295
Difference,0.0,-0.22821532669874706,-0.23425977599326464,-0.24004910693267675,-0.24635256574272266,-0.25263189127596775,-0.25923226309645997,-0.26547396052188965,-0.271751642715667,-0.2777380298185459,-2.2757045627959416
