,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Total
Base,4.402017214032808,4.877613249444849,5.041441014237478,5.216420536457322,5.389306625819154,5.583154187722976,5.782748376061843,5.988341804127086,6.196781684186357,6.409538371483615,54.88736306357349
Reform,4.402017214032808,4.562500028722521,4.719781510065,4.88776424503877,5.068456338829406,5.255063211709534,5.447358345990858,5.645724213859859,5.846977014383994,6.052511959283079,51.88815408191583
Difference,0.0,-0.31511322072232717,-0.3216595041724775,-0.32865629141855174,-0.32085028698974805,-0.3280909760134424,-0.33539003007098533,-0.34261759026722655,-0.3498046698023633,-0.3570264122005361,-2.999208981657658
