,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-220.1858945275215,-228.17923677955568,-236.52494761073928,-231.03755207807814,-238.81236905285255,-247.13676809382815,-255.64016181399123,-264.16390246388676,-273.3031873242696,-2194.984019744723
ctc_1,0.0,-55.94239449182666,-57.91193334714063,-59.75351866688477,-61.539919166782234,-63.37988585345313,-65.28203310150195,-67.15984205554493,-69.08826001895801,-71.04238676179004,-571.1001734638824
ctc_2,0.0,-49.257840605650884,-50.97240554005225,-52.51973076634961,-54.24165223803028,-55.991174821196296,-57.684618260039066,-59.25943318701563,-61.124789071172856,-62.92309706611036,-503.97474155561724
Total,0.0,-325.38612962499906,-337.06357566674853,-348.79819704397363,-346.81912348289063,-358.18342972750196,-370.1034194553692,-382.05943705655176,-394.3769515540176,-407.26867115216993,-3270.058934764222
