,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-220.1858945275215,-228.17923677955568,-236.52494761073928,-231.03755207807814,-238.81236905285255,-247.13676809382815,-255.64016181399123,-264.16390246388676,-273.3031873242696,-2194.984019744723
std_1,0.0,-48.08616323073926,-49.64609098157129,-51.66721250607813,-53.388668944590826,-55.135267736791995,-57.158310341152344,-58.71856039738379,-60.6705864234668,-62.47563519734864,-496.9464957591231
std_2,0.0,-48.13281033296436,-49.85617324289161,-51.63253802864844,-53.270460573065435,-55.03200840929688,-57.43729828666114,-59.361271025636725,-60.976435063710944,-62.781113217632814,-498.48010818050835
std_3,0.0,-47.73564251960108,-49.60211514129395,-51.34509949744434,-53.16498471108594,-54.78336970456543,-56.79693744368067,-58.45002180637207,-60.12325906891016,-62.647132191089845,-494.6485620840435
std_4,0.0,-46.997923678722174,-48.867575048888675,-50.57847999439551,-52.390262788086915,-54.17300537156055,-55.74768935461914,-58.04716177806055,-59.65616474482618,-61.760862934528326,-488.219125693688
std_5,0.0,-45.522602359624514,-47.65882746321143,-49.170966855095706,-51.355729467437506,-52.861780257766604,-54.58712203058887,-56.74915516290235,-58.83231046847071,-60.66275175758789,-477.40124582268555
std_6,0.0,-44.40675091338477,-46.38667173808008,-47.77548243081495,-49.493787603258795,-51.36451709248145,-52.911458740712895,-55.19556874683301,-57.30318965866211,-58.83609135442872,-463.6735182786568
Total,0.0,-501.06778756255767,-520.1966903954927,-538.6947269232163,-544.1014461656035,-562.1623176253155,-581.7755842912431,-602.1619007311797,-621.7258478919337,-642.4667739768857,-5114.353075563428
