,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
37,1200,0.25,-3.45,2026,16003404.98,192503918.12,9005711.86,192503918.12,0.08313287924884757,0.001958633857583894,0.046781966559174985,-0.034392278832088695
38,1200,0.25,-3.45,2035,20055911.78,200923107.71,12437944.1,200923107.71,0.09981884119046906,0.018644595799205382,0.061904000200674575,-0.019270245190589105
39,1300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
40,1300,0.25,-3.45,2026,16003404.98,192503918.12,9153065.26,192503918.12,0.08313287924884757,0.001958633857583894,0.0475474231869624,-0.03362682220430128
41,1300,0.25,-3.45,2035,20055911.78,200923107.71,12591719.200000001,200923107.71,0.09981884119046906,0.018644595799205382,0.06266934323041683,-0.018504902160846853
42,1400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
43,1400,0.25,-3.45,2026,16003404.98,192503918.12,9268728.16,192503918.12,0.08313287924884757,0.001958633857583894,0.04814825719143134,-0.03302598819983234
44,1400,0.25,-3.45,2035,20055911.78,200923107.71,12730101.94,200923107.71,0.09981884119046906,0.018644595799205382,0.06335807804831409,-0.017816167342949593
45,1500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
46,1500,0.25,-3.45,2026,16003404.98,192503918.12,9396118.78,192503918.12,0.08313287924884757,0.001958633857583894,0.04881001317668141,-0.03236423221458227
47,1500,0.25,-3.45,2035,20055911.78,200923107.71,12853750.89,200923107.71,0.09981884119046906,0.018644595799205382,0.06397348237591621,-0.017200763015347467
48,1600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
49,1600,0.25,-3.45,2026,16003404.98,192503918.12,9531712.040000001,192503918.12,0.08313287924884757,0.001958633857583894,0.04951437941153112,-0.03165986597973256
50,1600,0.25,-3.45,2035,20055911.78,200923107.71,12954843.13,200923107.71,0.09981884119046906,0.018644595799205382,0.06447662131872965,-0.01669762407253403
51,1700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
52,1700,0.25,-3.45,2026,16003404.98,192503918.12,9620094.040000001,192503918.12,0.08313287924884757,0.001958633857583894,0.04997349733943172,-0.031200748051831963
53,1700,0.25,-3.45,2035,20055911.78,200923107.71,13089972.99,200923107.71,0.09981884119046906,0.018644595799205382,0.06514916646070026,-0.016025078930563416
54,1800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
55,1800,0.25,-3.45,2026,16003404.98,192503918.12,9763387.02,192503918.12,0.08313287924884757,0.001958633857583894,0.050717861305627325,-0.030456384085636355
56,1800,0.25,-3.45,2035,20055911.78,200923107.71,13233925.1,200923107.71,0.09981884119046906,0.018644595799205382,0.06586562019088929,-0.01530862520037439
57,1900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
58,1900,0.25,-3.45,2026,16003404.98,192503918.12,9886167.71,192503918.12,0.08313287924884757,0.001958633857583894,0.051355670089983936,-0.029818575301279744
59,1900,0.25,-3.45,2035,20055911.78,200923107.71,13380629.55,200923107.71,0.09981884119046906,0.018644595799205382,0.06659577239524274,-0.014578472996020941
60,2000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
61,2000,0.25,-3.45,2026,16003404.98,192503918.12,10068169.07,192503918.12,0.08313287924884757,0.001958633857583894,0.05230111245696239,-0.028873132934301292
62,2000,0.25,-3.45,2035,20055911.78,200923107.71,13506121.41,200923107.71,0.09981884119046906,0.018644595799205382,0.0672203489381316,-0.01395389645313208
63,2100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
64,2100,0.25,-3.45,2026,16003404.98,192503918.12,10188385.620000001,192503918.12,0.08313287924884757,0.001958633857583894,0.05292560130463905,-0.028248644086624627
65,2100,0.25,-3.45,2035,20055911.78,200923107.71,13628936.91,200923107.71,0.09981884119046906,0.018644595799205382,0.06783160516146886,-0.013342640229794825
66,2200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
67,2200,0.25,-3.45,2026,16003404.98,192503918.12,10316230.68,192503918.12,0.08313287924884757,0.001958633857583894,0.05358971796911288,-0.027584527422150798
68,2200,0.25,-3.45,2035,20055911.78,200923107.71,13757086.96,200923107.71,0.09981884119046906,0.018644595799205382,0.06846941159130451,-0.012704833799959167
69,2300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
70,2300,0.25,-3.45,2026,16003404.98,192503918.12,10450579.89,192503918.12,0.08313287924884757,0.001958633857583894,0.05428762173809619,-0.02688662365316749
71,2300,0.25,-3.45,2035,20055911.78,200923107.71,13888961.99,200923107.71,0.09981884119046906,0.018644595799205382,0.06912575735214324,-0.012048488039120439
72,2400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
73,2400,0.25,-3.45,2026,16003404.98,192503918.12,10587886.370000001,192503918.12,0.08313287924884757,0.001958633857583894,0.05500088763595915,-0.02617335775530453
74,2400,0.25,-3.45,2035,20055911.78,200923107.71,14025010.8,200923107.71,0.09981884119046906,0.018644595799205382,0.06980287613430126,-0.011371369256962416
75,2500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
76,2500,0.25,-3.45,2026,16003404.98,192503918.12,10706536.31,192503918.12,0.08313287924884757,0.001958633857583894,0.05561723841551075,-0.02555700697575293
77,2500,0.25,-3.45,2035,20055911.78,200923107.71,14185933.01,200923107.71,0.09981884119046906,0.018644595799205382,0.07060379053301873,-0.010570454858244954
78,2600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
79,2600,0.25,-3.45,2026,16003404.98,192503918.12,10809673.86,192503918.12,0.08313287924884757,0.001958633857583894,0.05615300699106622,-0.02502123840019746
80,2600,0.25,-3.45,2035,20055911.78,200923107.71,14332118.120000001,200923107.71,0.09981884119046906,0.018644595799205382,0.07133135796747726,-0.009842887423786417
81,2700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
82,2700,0.25,-3.45,2026,16003404.98,192503918.12,10925508.06,192503918.12,0.08313287924884757,0.001958633857583894,0.0567547308475531,-0.02441951454371058
83,2700,0.25,-3.45,2035,20055911.78,200923107.71,14463549.620000001,200923107.71,0.09981884119046906,0.018644595799205382,0.07198549626693906,-0.009188749124324616
84,2800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
85,2800,0.25,-3.45,2026,16003404.98,192503918.12,11075674.93,192503918.12,0.08313287924884757,0.001958633857583894,0.05753480260643746,-0.02363944278482622
86,2800,0.25,-3.45,2035,20055911.78,200923107.71,14601358.71,200923107.71,0.09981884119046906,0.018644595799205382,0.07267137601253261,-0.00850286937873107
87,2900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
88,2900,0.25,-3.45,2026,16003404.98,192503918.12,11189082.08,192503918.12,0.08313287924884757,0.001958633857583894,0.05812391866759371,-0.023050326723669967
89,2900,0.25,-3.45,2035,20055911.78,200923107.71,14747690.71,200923107.71,0.09981884119046906,0.018644595799205382,0.0733996745226831,-0.007774570868580577
90,3000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
91,3000,0.25,-3.45,2026,16003404.98,192503918.12,11350572.43,192503918.12,0.08313287924884757,0.001958633857583894,0.058962812501948465,-0.022211432889315215
92,3000,0.25,-3.45,2035,20055911.78,200923107.71,14923469.73,200923107.71,0.09981884119046906,0.018644595799205382,0.07427453168572136,-0.006899713705542321
93,3100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
94,3100,0.25,-3.45,2026,16003404.98,192503918.12,11463360.38,192503918.12,0.08313287924884757,0.001958633857583894,0.0595487120051975,-0.02162553338606618
95,3100,0.25,-3.45,2035,20055911.78,200923107.71,15055565.94,200923107.71,0.09981884119046906,0.018644595799205382,0.07493197826568695,-0.006242267125576725
96,3200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
97,3200,0.25,-3.45,2026,16003404.98,192503918.12,11619579.78,192503918.12,0.08313287924884757,0.001958633857583894,0.060360224838420025,-0.020814020552843655
98,3200,0.25,-3.45,2035,20055911.78,200923107.71,15181833.700000001,200923107.71,0.09981884119046906,0.018644595799205382,0.07556041648486007,-0.005613828906403606
99,3300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
100,3300,0.25,-3.45,2026,16003404.98,192503918.12,11769637.72,192503918.12,0.08313287924884757,0.001958633857583894,0.06113973073869194,-0.020034514652571743
101,3300,0.25,-3.45,2035,20055911.78,200923107.71,15309947.02,200923107.71,0.09981884119046906,0.018644595799205382,0.07619804010844503,-0.004976205282818655
102,3400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
103,3400,0.25,-3.45,2026,16003404.98,192503918.12,11901473.14,192503918.12,0.08313287924884757,0.001958633857583894,0.06182457612411323,-0.019349669267150447
104,3400,0.25,-3.45,2035,20055911.78,200923107.71,15434458.030000001,200923107.71,0.09981884119046906,0.018644595799205382,0.07681773493309263,-0.004356510458171051
105,3500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
106,3500,0.25,-3.45,2026,16003404.98,192503918.12,12085624.5,192503918.12,0.08313287924884757,0.001958633857583894,0.0627811870949362,-0.01839305829632748
107,3500,0.25,-3.45,2035,20055911.78,200923107.71,15600064.99,200923107.71,0.09981884119046906,0.018644595799205382,0.07764196546529716,-0.003532279925966525
108,3600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
109,3600,0.25,-3.45,2026,16003404.98,192503918.12,12202136.85,192503918.12,0.08313287924884757,0.001958633857583894,0.06338643373686362,-0.017787811654400063
110,3600,0.25,-3.45,2035,20055911.78,200923107.71,15753629.26,200923107.71,0.09981884119046906,0.018644595799205382,0.07840625918815577,-0.0027679862031079056
111,3700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
112,3700,0.25,-3.45,2026,16003404.98,192503918.12,12352526.26,192503918.12,0.08313287924884757,0.001958633857583894,0.06416766152416638,-0.017006583867097302
113,3700,0.25,-3.45,2035,20055911.78,200923107.71,15909302.450000001,200923107.71,0.09981884119046906,0.018644595799205382,0.07918104906560824,-0.001993196325655436
114,3800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
115,3800,0.25,-3.45,2026,16003404.98,192503918.12,12476502.94,192503918.12,0.08313287924884757,0.001958633857583894,0.06481168311713321,-0.016362562274130465
116,3800,0.25,-3.45,2035,20055911.78,200923107.71,16072067.65,200923107.71,0.09981884119046906,0.018644595799205382,0.07999113607777474,-0.0011831093134889448
117,3900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
118,3900,0.25,-3.45,2026,16003404.98,192503918.12,12620653.540000001,192503918.12,0.08313287924884757,0.001958633857583894,0.06556050216148193,-0.015613743229781749
119,3900,0.25,-3.45,2035,20055911.78,200923107.71,16218505.14,200923107.71,0.09981884119046906,0.018644595799205382,0.08071995961464416,-0.0004542857766195174
120,4000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
121,4000,0.25,-3.45,2026,16003404.98,192503918.12,12753988.38,192503918.12,0.08313287924884757,0.001958633857583894,0.06625313658317138,-0.014921108808092304
