,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
37,1200,0.25,-3.45,2026,16003404.98,192503918.12,8622511.59,192503918.12,0.08313287924884757,0.001958633857583894,0.04479135632255047,-0.03638288906871321
38,1200,0.25,-3.45,2035,20055911.78,200923107.71,11997994.4,200923107.71,0.09981884119046906,0.018644595799205382,0.0597143580783011,-0.021459887312962583
39,1300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
40,1300,0.25,-3.45,2026,16003404.98,192503918.12,8738933.33,192503918.12,0.08313287924884757,0.001958633857583894,0.04539613227275958,-0.0357781131185041
41,1300,0.25,-3.45,2035,20055911.78,200923107.71,12117118.17,200923107.71,0.09981884119046906,0.018644595799205382,0.06030724045682739,-0.020867004934436287
42,1400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
43,1400,0.25,-3.45,2026,16003404.98,192503918.12,8790973.56,192503918.12,0.08313287924884757,0.001958633857583894,0.04566646562757244,-0.03550777976369124
44,1400,0.25,-3.45,2035,20055911.78,200923107.71,12207194.68,200923107.71,0.09981884119046906,0.018644595799205382,0.06075555379931267,-0.020418691591951012
45,1500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
46,1500,0.25,-3.45,2026,16003404.98,192503918.12,8873060.01,192503918.12,0.08313287924884757,0.001958633857583894,0.04609288006527147,-0.03508136532599221
47,1500,0.25,-3.45,2035,20055911.78,200923107.71,12278891.27,200923107.71,0.09981884119046906,0.018644595799205382,0.06111238975918386,-0.020061855632079822
48,1600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
49,1600,0.25,-3.45,2026,16003404.98,192503918.12,8946520.81,192503918.12,0.08313287924884757,0.001958633857583894,0.04647448684355122,-0.03469975854771246
50,1600,0.25,-3.45,2035,20055911.78,200923107.71,12366430.870000001,200923107.71,0.09981884119046906,0.018644595799205382,0.06154807682871869,-0.01962616856254499
51,1700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
52,1700,0.25,-3.45,2026,16003404.98,192503918.12,9016573.11,192503918.12,0.08313287924884757,0.001958633857583894,0.04683838748871279,-0.03433585790255089
53,1700,0.25,-3.45,2035,20055911.78,200923107.71,12432506.38,200923107.71,0.09981884119046906,0.018644595799205382,0.061876936514162977,-0.019297308877100704
54,1800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
55,1800,0.25,-3.45,2026,16003404.98,192503918.12,9081108.72,192503918.12,0.08313287924884757,0.001958633857583894,0.04717363058729623,-0.034000614803967454
56,1800,0.25,-3.45,2035,20055911.78,200923107.71,12505985.620000001,200923107.71,0.09981884119046906,0.018644595799205382,0.06224264477359352,-0.018931600617670158
57,1900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
58,1900,0.25,-3.45,2026,16003404.98,192503918.12,9172945.38,192503918.12,0.08313287924884757,0.001958633857583894,0.047650694435642175,-0.033523550955621505
59,1900,0.25,-3.45,2035,20055911.78,200923107.71,12599344.48,200923107.71,0.09981884119046906,0.018644595799205382,0.06270729446503046,-0.018466950926233225
60,2000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
61,2000,0.25,-3.45,2026,16003404.98,192503918.12,9274624.85,192503918.12,0.08313287924884757,0.001958633857583894,0.04817888872380526,-0.03299535666745842
62,2000,0.25,-3.45,2035,20055911.78,200923107.71,12689682.88,200923107.71,0.09981884119046906,0.018644595799205382,0.0631569112414661,-0.018017334149797587
63,2100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
64,2100,0.25,-3.45,2026,16003404.98,192503918.12,9351321.89,192503918.12,0.08313287924884757,0.001958633857583894,0.04857730679627374,-0.03259693859498994
65,2100,0.25,-3.45,2035,20055911.78,200923107.71,12774365.18,200923107.71,0.09981884119046906,0.018644595799205382,0.06357837744794256,-0.017595867943321117
66,2200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
67,2200,0.25,-3.45,2026,16003404.98,192503918.12,9432586.23,192503918.12,0.08313287924884757,0.001958633857583894,0.0489994506195976,-0.03217479477166608
68,2200,0.25,-3.45,2035,20055911.78,200923107.71,12844124.84,200923107.71,0.09981884119046906,0.018644595799205382,0.06392557325232305,-0.01724867213894063
69,2300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
70,2300,0.25,-3.45,2026,16003404.98,192503918.12,9532721.19,192503918.12,0.08313287924884757,0.001958633857583894,0.049519621642493766,-0.031654623748769914
71,2300,0.25,-3.45,2035,20055911.78,200923107.71,12934360.96,200923107.71,0.09981884119046906,0.018644595799205382,0.06437468097830071,-0.016799564412962972
72,2400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
73,2400,0.25,-3.45,2026,16003404.98,192503918.12,9614357.19,192503918.12,0.08313287924884757,0.001958633857583894,0.04994369612781988,-0.031230549263443798
74,2400,0.25,-3.45,2035,20055911.78,200923107.71,13036232.32,200923107.71,0.09981884119046906,0.018644595799205382,0.06488169762342962,-0.016292547767834065
75,2500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
76,2500,0.25,-3.45,2026,16003404.98,192503918.12,9684113.65,192503918.12,0.08313287924884757,0.001958633857583894,0.05030605997309246,-0.03086818541817122
77,2500,0.25,-3.45,2035,20055911.78,200923107.71,13141893.9,200923107.71,0.09981884119046906,0.018644595799205382,0.0654075783008901,-0.01576666709037358
78,2600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
79,2600,0.25,-3.45,2026,16003404.98,192503918.12,9772737.02,192503918.12,0.08313287924884757,0.001958633857583894,0.05076643174560233,-0.03040781364566135
80,2600,0.25,-3.45,2035,20055911.78,200923107.71,13233527.530000001,200923107.71,0.09981884119046906,0.018644595799205382,0.06586364147373461,-0.015310603917529073
81,2700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
82,2700,0.25,-3.45,2026,16003404.98,192503918.12,9857734.55,192503918.12,0.08313287924884757,0.001958633857583894,0.051207968369012855,-0.029966277022250826
83,2700,0.25,-3.45,2035,20055911.78,200923107.71,13325124.02,200923107.71,0.09981884119046906,0.018644595799205382,0.06631951979974678,-0.014854725591516904
84,2800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
85,2800,0.25,-3.45,2026,16003404.98,192503918.12,9977834.08,192503918.12,0.08313287924884757,0.001958633857583894,0.051831849332958396,-0.029342396058305284
86,2800,0.25,-3.45,2035,20055911.78,200923107.71,13410116.1,200923107.71,0.09981884119046906,0.018644595799205382,0.06674252779006053,-0.014431717601203153
87,2900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
88,2900,0.25,-3.45,2026,16003404.98,192503918.12,10060472.4,192503918.12,0.08313287924884757,0.001958633857583894,0.05226113056944984,-0.028913114821813843
89,2900,0.25,-3.45,2035,20055911.78,200923107.71,13511565.68,200923107.71,0.09981884119046906,0.018644595799205382,0.06724744522417879,-0.01392680016708489
90,3000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
91,3000,0.25,-3.45,2026,16003404.98,192503918.12,10152333.53,192503918.12,0.08313287924884757,0.001958633857583894,0.052738321532091625,-0.028435923859172055
