,2026,2027,2028,2029,2030,2031,2032,2033,2034,Total
Base,4.514753676609889,4.702210349627788,4.893922995758048,5.099785119596509,5.312247483319511,5.532240041856708,5.759156503232482,5.990562673468794,6.227285564328703,48.03216440779843
Reform,4.230735779753998,4.410034043381992,4.593656945800325,4.790624184065154,4.994289723169293,5.205377410959585,5.423372850174767,5.645760263088552,5.873410273355272,45.16726147374894
Difference,-0.2840178968558901,-0.2921763062457959,-0.3002660499577226,-0.3091609355313555,-0.3179577601502177,-0.326862630897123,-0.3357836530577158,-0.3448024103802422,-0.3538752909734316,-2.8649029340494945
