,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-220.1858945275215,-225.1074444096211,-230.36175164463575,-221.75617079330178,-226.35745990826175,-231.3742946889629,-236.4782092185713,-241.48120926544922,-246.99367951302736,-2080.0961139693527
rt2_1,0.0,-39.67636828876123,-41.09529407150879,-42.98069731262012,-44.608813693567384,-46.059273702457034,-48.11019671406055,-49.808994247622074,-51.69990335627833,-53.55442747145215,-417.5939688583277
rt2_2,0.0,-39.86413206251953,-41.55673620810254,-43.17009166431153,-44.57850962048828,-46.23360953136817,-48.33095609622461,-50.11541337461719,-51.837240118714845,-53.67708690951172,-419.36377558585843
Total,0.0,-299.72639487880224,-307.75947468923243,-316.5125406215674,-310.9434941073574,-318.6503431420869,-327.8154474992481,-336.4026168408106,-345.0183527404424,-354.2251938939912,-2917.053858413539
