,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-223.06640473810305,-228.33655010364552,-233.5809718695547,-225.21880024426466,-230.15391723264258,-235.29374389790723,-240.40106878616407,-245.70422291283498,-251.26260913107132,-2113.0182889161883
std_1,0.0,-47.057701757072756,-48.638594656729495,-50.672905793515625,-52.3544251114336,-53.99752613484766,-56.00637007677149,-57.55824571614356,-59.564601274971686,-61.31811758108887,-487.1684881025747
std_2,0.0,-48.146673028059084,-49.78118416470996,-51.59202718952051,-53.209778479181644,-55.07320698040918,-57.349630831327154,-59.473152666134766,-61.12032206336719,-62.83831707756836,-498.58429248027784
std_3,0.0,-47.59565746107911,-49.61473988850586,-51.26564821380664,-53.170731892380864,-54.6742674614375,-56.87868807487598,-58.35826719579004,-60.301267815859376,-62.7695287999541,-494.6287968036895
std_4,0.0,-47.02117006383106,-48.759809003041994,-50.574455974422854,-52.265726202499025,-54.213698063985355,-56.097366199579106,-58.158573602467776,-59.51192020054688,-61.84994411203516,-488.4526634224092
std_5,0.0,-45.623262426746095,-47.70241353147803,-49.20857844546289,-51.387614702047856,-52.89163085285645,-54.467285165142584,-56.78288181809668,-58.83506128130469,-60.65698122218555,-477.5557094453208
std_6,0.0,-44.28639899492139,-46.39228446114551,-47.81863662251709,-49.509298387806645,-51.267470615118164,-53.06930441176954,-55.15870795155762,-57.34227802590821,-59.29464879462696,-464.1390282653711
Total,0.0,-502.79726846981254,-519.2255758092564,-534.7132241088003,-537.1163750196143,-552.271717341297,-569.1623886573731,-585.8908977363545,-602.3796735747931,-619.9901467185304,-5023.547267435832
