,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-220.1858945275215,-228.17923677955568,-236.52494761073928,-231.03755207807814,-238.81236905285255,-247.13676809382815,-255.64016181399123,-264.16390246388676,-273.3031873242696,-2194.984019744723
ctc_3,0.0,-2.7611862255527346,-3.0918595317099613,-3.3461904930322266,-3.6871248740683598,-4.109700353198242,-4.515936555318359,-4.912398861448242,-5.350425956089844,-5.915055914828125,-37.6898787652461
ctc_4,0.0,-53.85284660216016,-55.82370242980469,-57.60993004902735,-59.43475170569532,-61.25527615433399,-63.18626889216602,-65.08616987166211,-67.09019217138477,-69.07190919276856,-552.411047069003
ctc_5,0.0,-45.947261823053225,-47.530751894494145,-49.10455171157618,-50.75671931466113,-52.341808302058595,-53.95944352521192,-55.611818237412116,-57.284060344013675,-59.04127647650977,-471.57769162899075
Total,0.0,-322.7471891782876,-334.6255506355645,-346.585619864375,-344.9161479725029,-356.5191538624434,-368.79841706652445,-381.2505487845137,-393.88858093537505,-407.331428908376,-3256.6626372079627
