,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Total
Base,4.36568214756636,4.907176757754164,5.112242138480442,5.320829662642659,5.528076306104117,5.757927535469439,5.995663961326074,6.240428568168438,6.4899189615954676,6.744773543888116,56.46271958299527
Reform,4.36568214756636,4.5700728195032925,4.765226559425444,4.963993210318264,5.176433519717846,5.396162761179581,5.623593608556657,5.857984882930898,6.097020952919458,6.341332612871018,53.15750307498882
Difference,0.0,-0.3371039382508711,-0.347015579054998,-0.3568364523243955,-0.3516427863862715,-0.36176477428985837,-0.37207035276941697,-0.38244368523754,-0.39289800867600977,-0.40344093101709766,-3.305216508006459
