,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Total
Base,4.36568214756636,4.907176757754164,5.112242138480442,5.320829662642659,5.528076306104117,5.757927535469439,5.995663961326074,6.240428568168438,6.4899189615954676,6.744773543888116,56.46271958299527
Reform,4.36568214756636,4.64029384561223,4.837758215727285,5.0389073611632345,5.252309828969631,5.474899866985284,5.705931370095812,5.9428749085175285,6.185056485440595,6.433002909302126,53.876716939380096
Difference,0.0,-0.26688291214193455,-0.2744839227531572,-0.2819223014794248,-0.2757664771344863,-0.2830276684841553,-0.28973259123026174,-0.29755365965091013,-0.30486247615487305,-0.31177063458599025,-2.5860026436151933
