,2026,2027,2028,2029,2030,2031,2032,2033,2034,Total
Base,4.514753676609889,4.702210349627788,4.8939229957580475,5.099785119596509,5.312247483319511,5.532240041856708,5.759156503232482,5.990562673468794,6.227285564328703,48.03216440779843
Reform,4.293910893270772,4.475674678425287,4.661922188639341,4.861708449626086,5.0682921980934905,5.2820748856912125,5.503158537398655,5.728686317542115,5.959809870434355,45.83523801912131
Difference,-0.2208427833391162,-0.22653567120250098,-0.23200080711870702,-0.23807666997042382,-0.2439552852260205,-0.2501651561654951,-0.25599796583382717,-0.2618763559266787,-0.2674756938943486,-2.196926388677118
