
Analyzing Albuquerque neighborhoods from AbqNeighborhoods.txt...
Neighborhood	Mean	Median
Plaza Vieja (count=3)	463,000.00	499,000.00
Princess Jeanne (count=8)	267,862.50	294,450.00
Prospectors Ridge (count=2)	582,500.00	582,500.00
Pueblo Alto (count=6)	363,633.33	367,400.00
Quaker Heights (count=4)	723,490.00	649,499.50
Quigley Park (count=2)	308,700.00	308,700.00
Quintessence (count=3)	687,999.67	715,000.00
Rancho Sereno (count=5)	437,400.00	430,000.00
Renaissance (count=None)	N/A	N/A
Richland Hills (count=None)	N/A	N/A
Rio Grande Boulevard (count=14)	770,342.86	662,450.00
Riverview Heights (count=None)	N/A	N/A
S Y Jackson (count=11)	418,309.09	420,000.00
S.r. Marmon (count=13)	313,284.62	309,900.00
Saltillo (count=None)	N/A	N/A
San Gabriel (count=None)	N/A	N/A
Sandia High School Area (count=11)	397,163.64	419,900.00
Sandia Ridge (count=8)	605,437.50	601,000.00
Sandia Ridge East (count=None)	N/A	N/A
Saragossa (count=1)	475,000.00	475,000.00
Sawmill Area (count=1)	475,000.00	475,000.00
Seven Bar North (count=7)	443,557.14	405,000.00
Seville (count=None)	N/A	N/A
Siesta Hills (count=2)	464,450.00	464,450.00
Silver Hill (count=None)	N/A	N/A
Singing Arrow (count=4)	341,250.00	347,500.00
Skies West (count=7)	327,000.00	325,000.00
Skyline Heights (count=None)	N/A	N/A
Skyview West (count=None)	N/A	N/A
Snow Heights (count=5)	335,200.00	342,000.00
Sombra Del Monte (count=3)	361,666.67	340,000.00
South Broadway (count=None)	N/A	N/A
South Guadalupe Trail (count=None)	N/A	N/A
South Los Altos (count=None)	N/A	N/A
South San Pedro (count=27)	289,953.26	255,000.00
Southeast Heights (count=18)	458,875.11	439,950.00
Spruce Park (count=5)	609,780.00	615,000.00
Stardust Skies Park (count=None)	N/A	N/A
Stinson Tower (count=6)	413,633.17	380,900.00
Stonebridge Pointe (count=9)	410,955.00	410,000.00
Story Rock (count=1)	398,000.00	398,000.00
Summit Park (count=None)	N/A	N/A
Sunport (count=None)	N/A	N/A
Sunport Park (count=None)	N/A	N/A
Supper Rock (count=8)	446,125.00	465,000.00
Sycamore (count=None)	N/A	N/A
Tanoan Community (count=8)	774,737.50	724,500.00
Tanoan East (count=15)	877,393.33	850,000.00
Taylor Ranch (count=88)	408,839.32	384,000.00
Thomas Village (count=5)	689,960.00	549,900.00
